artist_id,name,genres
4xnihxcoXWK3UqryOSnbw5,Sasha Alex Sloan,alt z/electropop/pop/post-teen pop
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,alt z/dance pop/electropop/pop/post-teen pop
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,dance pop/pop/pop dance/post-teen pop/tropical house/uk pop
2PJEagPIxaBugeMjIyKVXF,Aitch,manchester hip hop
5KNNVgR6LBIABRIomyCwKJ,Dermot Kennedy,folk-pop/irish pop
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,dance pop/dutch edm/edm/electro house/pop/pop dance/progressive house/tropical house
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,dance pop/pop
4OSArit7O2Jaj4mgf3YN7A,Mallrat,aussietronica/australian hip hop/australian pop/brisbane indie/indie pop
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,dance pop/edm/electropop/pop/pop dance/tropical house
4XQI4hyuy5xun1ou3SM8Oe,Aidan Bissett,gen z singer-songwriter
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,belgian edm/edm/pop/pop dance/tropical house
67MNhiAICFY6Pwc2YxCO0K,Elley Duhé,alt z/pop
3NPpFNZtSTHheNBaWC82rB,X Ambassadors,modern alternative rock/modern rock/pop/pop rap/pop rock/rock/stomp pop
4IWBUUAFIplrNtaOHcJPRM,James Arthur,pop/talent show/uk pop
49jTY62Cpw3RYo4dLuG43W,Cian Ducrot,irish pop
23fqKkggKUBHNkbKtXEls4,Kygo,edm/pop/pop dance/tropical house
2nJYGgfTf2846LtVB3AES8,Plested,
2auC28zjQyVTsiZKNgPRGs,RM,k-rap
6n28c9qs9hNGriNa72b26u,PNAU,alternative dance/aussietronica/australian dance/australian electropop/edm
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,electro house
1294QqYm1VuxxjRiL9M0h9,UPSAHL,alt z/electropop/indie poptimism/modern indie pop/pop/viral rap
22wbnEMDvgVIAGdFeek6ET,Benson Boone,pop
0sMAHzxguan2KpnKFZPW2d,Sadie Jean,
1hmTCch4tWOJmdqkf8nSRA,charlieonnafriday,pop rap
6LuN9FCkKOj5PcnpouEgny,Khalid,pop/pop r&b
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,dance pop/electropop/metropopolis/pop/swedish electropop/swedish pop/swedish synthpop
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,canadian pop/candy pop/dance pop/pop/post-teen pop
3wcj11K77LjEY1PkEazffa,Burna Boy,afro dancehall/dancehall/nigerian hip hop/nigerian pop
0XFgM33h3Ls5tj1M9IKUWd,Foudeqush,r&b en espanol
24eDfi2MSYo3A87hCcgpIL,Ludwig Goransson,nordic soundtrack/orchestral soundtrack/soundtrack
0xRXCcSX89eobfrshSVdyu,MEDUZA,dance pop/edm/electro house/pop/pop dance/pop house/tropical house
5344K3N7rx7kw1HjO8psuq,James Carter,covertronica/edm/pop dance/pop edm/tropical house
56Qz2XwGj7FxnNKrfkWjnb,FAST BOY,
2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,dance pop/edm/pop/pop dance/tropical house
6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,neo mellow/pop
2YOYua8FpudSEiB9s88IgQ,Yung Gravy,minnesota hip hop
41X1TR6hrK8Q2ZCpp2EqCz,bbno$,canadian hip hop/dark trap/vapor trap
2IDLDx25HU1nQMKde4n61a,Rich Brian,indonesian hip hop
1bqxdqvUtPWZri43cKHac8,MAX,dance pop/pop/post-teen pop/viral pop
3pc0bOVB5whxmD50W79wwO,keshi,chill r&b/pop
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,pop/uk pop
1KCSPY1glIKqW2TotWuXOR,P!nk,dance pop/pop
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,dance pop/edm/pop/pop rap/post-teen pop
2TcGJdSOiOvITBzhvfX8XB,Shouse,aussietronica/edm/pop dance/tropical house
4oLeXFyACqeem2VImYeBFe,Fred again..,edm/house
3WtrH1zNpzoPSz6XpwCh6y,Delilah Montagu,british singer-songwriter
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,
5WUlDfRSoLAfcVSX1WnrxN,Sia,australian dance/australian pop/dance pop/pop
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,contemporary country/country/country road
1ZrBGJWLL8NiAjgNifCy90,Smith & Thell,swedish pop
55qfDfgj4Qi3JGe6KpqGtC,Blessing Offor,
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country
7okSU80WTrn4LXlyXYbX3P,Clinton Kane,alt z/gen z singer-songwriter/pop
7DMveApC7UnC2NPfPvlHSU,Cheat Codes,dance pop/edm/electro house/electropop/pop/pop dance/pop edm/post-teen pop/tropical house
6nXco5Q3cJJ0ZutnBOsSpq,MacKenzie Porter,alberta country/canadian contemporary country/canadian country/contemporary country/country pop
7DQYAz99eM3Y5PkP9WtUew,Jax,gen z singer-songwriter
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,country rap/nashville hip hop/tennessee hip hop
0DxPHf2flBAcV2SnZPg3SV,Jake Scott,indiecoustica/pop/pop rock/post-teen pop
70kkdajctXSbqSMJbQO424,Kacey Musgraves,country dawn/pop/texas country
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,
3PhoLpVuITZKcymswpck5b,Elton John,glam rock/mellow gold/piano rock
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,dance pop/pop/uk pop
2oX42qP5ineK3hrhBECLmj,Andy Grammer,dance pop/neo mellow/pop/pop rap/pop rock/post-teen pop
3bhu7P5PfngueRHiB9hjcx,Elle King,modern blues rock
66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,contemporary country/country/country dawn
6jsjhAEteAlY0vCiLvMLBA,ROZES,indie poptimism/pop edm
0yb46jwm7gqbZXVXZQ8Z1e,Bishop Briggs,electropop/modern alternative rock/modern rock/pop
77kULmXAQ6vWer7IIHdGzI,Jordan Davis,contemporary country/country/country road
5y2Xq6xcjJb2jVM54GHK3t,John Legend,neo soul/pop/pop soul/r&b/urban contemporary
26dSoYclwsYLMAKD3tpOr4,Britney Spears,dance pop/pop/post-teen pop
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,modern rock
0jnsk9HBra6NMjO2oANoPY,Flo Rida,dance pop/edm/miami hip hop/pop/pop rap
7sKxqpSqbIzphAKAhrqvlf,Walker Hayes,contemporary country/country/country road/modern country rock
6L1XC7NrmgWRlwAeLJvVtA,Sam Fischer,australian pop/dance pop/pop
4AcHt3JxKy59IX7JNNlZn4,Fitz and The Tantrums,la indie/modern alternative rock/modern rock/pop rock/rock
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,dance pop/pop
6PvvGcCY2XtUcSRld1Wilr,Silk Sonic,neo soul
6mx5dgNlLjrDDMyFsgrW87,TALK,
16AILHA3N2C3ngRuR2FdfH,Saint Harison,
50AUL69nMKHvAFs20YXGqb,Michal Leah,
6kDXH8d9LugUAsHIozzDAI,Rosie Darling,alt z/pop
5t5Fbw7cQgZyJnyJhmanlW,Hunter Daily,
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,permanent wave/pop
4dpARuHxo51G3z768sgnrY,Adele,british soul/pop/pop soul/uk pop
4fxd5Ee7UefO4CUXgwJ7IP,Giveon,pop/r&b
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,dance pop/pop/post-teen pop
79AyR6ATpj2LTPxfb6FX50,Lauren Spencer Smith,alt z/gen z singer-songwriter/pop/post-teen pop
20DZAfCuP1TKZl5KcY7z3Q,SLANDER,dubstep/edm/pop dance
6d0ZjIp5L7Ygy2l02HskRX,Dylan Matthew,pop edm
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,eau claire indie/indie folk/melancholia
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,canadian pop/dance pop/pop/viral pop
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,indie folk/stomp and holler
7Lk9V7E1u5gqSHmtcKlOqH,Sara Kays,alt z/gen z singer-songwriter/indie pop/modern indie pop/pop
3kft86DbqCNr7rjq3pEj0G,Sarah Cothran,gen z singer-songwriter
2S054G7qnCK45KY0XzpX30,Dylan Conrique,alt z/social media pop
3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,edmonton indie/lo-fi indie
163tK9Wjr9P9DmM0AVK7lm,Lorde,art pop/metropopolis/nz pop/pop
37M5pPGs6V1fchFJSgCguX,FINNEAS,alt z/electropop/la indie/pop
2jHp7gQArCQrlMvdrIVFCg,Anson Seabra,alt z/gen z singer-songwriter/pop
79GARbspzW3V7Kb07hTLoY,Madeline The Person,gen z singer-songwriter
0Ey8TMIVvT6OSYiblEuyMh,Frawley,alt z
2kxP07DLgs4xlWz8YHlvfh,NIKI,indonesian r&b/pop
69761NObDw2KwmmFgZmxzC,Lexi Jayde,alt z/social media pop
1Zi1c8sWZTy5rDiN3lAuEj,Ashley Kutcher,alt z/gen z singer-songwriter/pop
7rrTqtOUOwva4sgTx9C9F9,Joy Oladokun,black americana/indie folk/la pop/neo mellow
7wLyGTO9vUS7ndlq4BvBGe,Blake Rose,alt z/australian electropop/electropop/pop
4pZOG8ump4odtJJA4Cy7S8,Haley Joelle,alt z/gen z singer-songwriter
5TwUXL3I6RaLckHy8le2Hq,Thomas Day,alt z/gen z singer-songwriter
5aHlyw2WWqZW0HLICBuv7U,Zach Hood,alt z/gen z singer-songwriter/pop
0VMFTqmv0hYlWruyBERT95,Jessica Baio,alt z/social media pop
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,contemporary country/country/country pop/country road
2gI1WfmpFmmgSRojy4Jup2,BLÜ EYES,alt z/gen z singer-songwriter
04gDigrS5kc9YWfZHwBETP,Maroon 5,pop
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,neo mellow/permanent wave/pop rock
3FUY2gzHeIiaesXtOAdB7A,Train,dance pop/neo mellow/pop/pop rock
2MqhkhX4npxDZ62ObR5ELO,Hoobastank,alternative metal/funk metal/nu metal/pop rock/post-grunge
1qUjOF5fzrpoNycD36b2jZ,Nate Ruess,
26VFTg2z8YR0cCuwLzESi2,Halsey,dance pop/electropop/etherpop/indie poptimism/pop
3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,irish rock/neo mellow/permanent wave/pop rock
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,boy band/dance pop/pop/post-teen pop
